real_date,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15
4/22/2013,65,37,158,46,28,296,36,75,125,25,93,67,49,68,309
4/23/2013,57,29,113,46,20,285,31,60,102,26,77,62,45,62,255
4/24/2013,63,38,115,46,24,330,29,54,99,24,77,56,38,54,276
4/25/2013,48,26,84,36,15,215,26,43,75,24,57,50,38,52,202
4/26/2013,57,30,100,50,21,248,37,49,89,24,64,59,43,49,247
4/27/2013,84,51,183,67,31,374,63,93,156,29,102,74,66,70,415
4/28/2013,93,60,275,74,39,405,54,112,182,27,106,86,73,79,492
4/29/2013,63,33,159,50,30,306,51,77,116,23,88,78,51,62,280
4/30/2013,58,33,104,49,23,269,48,69,110,28,65,53,52,46,256
5/1/2013,102,69,276,71,49,426,67,118,205,39,104,92,74,77,446
5/2/2013,64,39,171,50,30,289,48,72,129,31,84,60,60,58,319
5/3/2013,59,39,169,54,26,312,46,71,113,31,81,58,69,52,308
5/4/2013,95,67,264,78,42,427,78,110,198,32,126,89,83,84,468
5/5/2013,111,74,468,84,53,475,74,131,231,31,164,126,110,121,634
5/6/2013,68,37,238,52,30,320,71,71,123,23,108,74,66,69,352
5/7/2013,62,32,153,46,27,265,52,71,107,24,101,70,57,62,314
5/8/2013,66,40,168,46,28,289,49,71,98,26,87,68,55,53,279
5/9/2013,50,28,111,45,19,250,37,62,92,26,74,55,56,41,241
5/10/2013,57,30,113,44,21,269,37,57,83,26,86,58,48,54,269
5/11/2013,107,51,222,60,32,367,65,93,154,28,102,85,73,81,514
5/12/2013,75,40,283,48,29,278,48,80,137,20,103,81,69,75,439
5/13/2013,64,36,227,46,31,282,48,80,114,22,101,74,67,65,398
5/14/2013,55,33,175,36,22,232,40,70,95,21,80,73,55,57,301
5/15/2013,61,33,169,42,24,272,40,68,93,24,81,55,53,52,305
5/16/2013,54,27,162,37,19,228,43,61,100,26,88,61,56,55,284
5/17/2013,58,31,154,38,21,228,42,57,94,25,89,54,46,50,292
5/18/2013,89,54,248,57,37,369,61,118,154,33,124,85,61,81,501
5/19/2013,96,63,430,68,42,389,62,127,182,31,152,97,80,93,569
5/20/2013,64,37,206,45,23,268,49,65,103,21,115,66,53,63,344
5/21/2013,57,31,166,38,21,234,168,72,89,20,107,64,37,56,270
5/22/2013,62,35,135,36,20,257,33,53,82,22,84,54,36,46,272
5/23/2013,55,26,119,41,18,197,34,54,76,24,66,46,46,43,281
5/24/2013,79,43,161,44,23,255,39,72,159,31,103,52,55,47,374
5/25/2013,76,39,218,57,24,286,48,102,129,28,101,76,73,65,434
5/26/2013,86,54,407,63,35,324,50,107,154,26,144,101,98,85,513
5/27/2013,57,31,209,42,25,243,39,68,95,22,97,76,61,71,337
5/28/2013,56,31,192,38,21,223,34,69,87,28,135,58,50,60,287
5/29/2013,57,29,221,36,23,222,28,70,76,21,79,77,48,67,293
5/30/2013,46,29,216,39,22,213,28,60,81,20,83,58,66,54,237
5/31/2013,56,39,148,40,21,229,34,63,83,22,73,48,47,55,239
6/1/2013,95,68,327,63,39,423,74,145,186,36,123,93,82,87,540
6/2/2013,111,86,528,74,54,507,76,185,248,41,171,121,108,108,639
6/3/2013,75,50,245,53,35,352,60,107,152,30,129,73,67,85,390
6/4/2013,64,43,202,45,24,278,43,82,122,28,100,68,50,76,335
6/5/2013,64,47,191,44,24,306,38,70,107,27,95,74,52,68,348
6/6/2013,49,32,147,42,18,234,126,64,89,27,84,62,60,53,307
6/7/2013,63,35,199,43,19,239,42,62,79,22,75,57,51,49,324
6/8/2013,85,55,223,53,30,335,58,116,145,28,116,81,71,82,481
6/9/2013,97,61,416,63,44,381,52,130,184,34,136,96,84,99,645
6/10/2013,56,35,207,44,28,263,50,84,108,25,105,88,54,77,375
6/11/2013,46,34,165,36,20,199,30,63,71,20,75,60,34,54,273
6/12/2013,53,36,185,40,24,241,35,63,80,22,81,56,31,61,311
6/13/2013,47,27,100,30,17,196,33,45,68,24,85,45,38,56,290
6/14/2013,58,32,119,35,19,208,36,57,72,27,82,46,46,41,273
6/15/2013,97,50,228,58,28,343,64,101,148,33,123,85,63,94,455
6/16/2013,82,46,347,47,31,273,53,100,135,30,140,92,78,84,453
6/17/2013,66,36,250,43,26,267,49,98,115,26,111,72,58,67,289
6/18/2013,55,34,159,38,20,241,41,76,96,23,100,72,43,62,260
6/19/2013,59,35,165,40,23,253,34,65,84,26,84,66,40,58,232
6/20/2013,53,34,139,34,22,206,33,59,84,25,74,47,50,44,232
6/21/2013,63,34,101,35,19,218,32,64,87,21,68,56,45,46,234
6/22/2013,82,46,202,51,26,336,50,108,155,28,104,73,59,71,434
6/23/2013,92,59,405,64,39,358,56,119,198,30,128,97,88,87,593
6/24/2013,64,36,193,45,26,256,44,73,127,30,95,74,55,61,309
6/25/2013,55,31,171,40,25,246,37,68,103,23,98,63,48,48,276
6/26/2013,57,31,132,34,20,235,36,56,95,24,73,56,36,53,257
6/27/2013,51,25,125,33,16,197,29,54,79,27,77,47,34,40,211
6/28/2013,58,35,123,36,18,221,169,56,100,24,74,50,31,48,270
6/29/2013,90,57,227,64,32,382,62,132,206,32,126,89,41,85,431
6/30/2013,103,69,385,67,40,404,74,131,207,42,148,99,39,95,462
7/1/2013,76,51,219,57,38,362,67,119,205,36,119,86,19,79,346
7/2/2013,72,51,203,46,27,326,54,92,180,28,92,63,13,59,284
7/3/2013,72,44,166,46,28,308,49,87,151,33,80,63,7,68,306
7/4/2013,53,37,121,43,22,234,46,70,119,30,70,56,3,48,259
7/5/2013,66,38,112,41,22,247,42,81,114,23,71,60,3,52,266
7/6/2013,88,55,161,60,28,332,71,123,186,33,96,73,4,68,381
7/7/2013,94,60,281,65,33,361,59,128,189,32,116,75,3,85,473
7/8/2013,68,38,151,40,28,261,145,92,126,29,107,76,0,69,320
7/9/2013,57,33,112,40,21,237,44,77,113,27,78,57,67,57,279
7/10/2013,65,30,136,38,23,228,33,63,112,25,78,58,67,57,257
7/11/2013,51,28,105,40,17,191,32,51,95,24,85,53,67,49,239
7/12/2013,58,28,102,38,16,213,31,52,74,26,94,51,67,44,216
7/13/2013,83,47,184,52,27,300,51,102,146,25,129,66,67,66,379
7/14/2013,91,51,251,62,36,317,44,117,158,32,157,77,67,72,363
7/15/2013,66,36,166,49,25,296,42,85,121,29,124,64,67,64,278
7/16/2013,65,37,195,47,23,266,39,77,122,38,116,67,67,56,240
7/17/2013,63,34,124,42,23,240,38,75,111,37,109,55,67,49,199
7/18/2013,50,32,132,39,17,212,27,55,85,33,94,50,67,51,211
7/19/2013,54,28,102,39,18,219,29,61,85,34,92,44,67,43,213
7/20/2013,77,47,150,53,29,322,51,104,143,47,119,63,67,65,381
7/21/2013,86,48,267,60,34,325,47,112,154,40,134,68,67,66,374
7/22/2013,65,36,159,47,28,260,38,84,115,32,125,57,67,54,287
7/23/2013,60,34,129,44,25,253,35,69,104,23,100,47,1,42,247
7/24/2013,61,32,84,41,20,229,34,75,86,32,90,47,7,43,199
7/25/2013,55,26,116,36,20,209,33,60,81,27,107,42,18,52,223
7/26/2013,55,32,167,40,18,213,32,60,80,41,88,42,34,50,233
7/27/2013,77,48,157,48,28,304,48,94,145,36,98,55,46,51,351
7/28/2013,81,48,252,62,33,304,47,112,175,30,134,63,57,63,365
7/29/2013,61,34,161,46,25,257,40,84,120,25,104,64,50,64,246
7/30/2013,56,34,144,42,21,246,32,71,114,23,99,47,41,55,236
7/31/2013,59,39,143,49,21,293,43,81,132,27,106,51,44,56,277
8/1/2013,60,40,142,49,29,304,60,97,141,41,110,55,59,50,249
8/2/2013,64,44,152,44,24,278,61,85,128,32,113,145,50,63,304
8/3/2013,86,65,207,76,34,382,83,134,194,42,112,76,57,71,404
8/4/2013,86,66,291,66,42,387,73,134,193,33,138,78,72,75,524
8/5/2013,71,48,226,52,29,312,57,102,134,31,144,75,58,67,369
8/6/2013,60,37,194,51,29,278,56,90,124,26,133,62,46,57,346
8/7/2013,66,37,173,43,28,272,44,83,105,33,111,56,44,50,296
8/8/2013,53,28,124,44,20,225,42,58,85,30,190,45,41,41,283
8/9/2013,59,31,124,44,22,224,46,62,84,29,97,48,43,44,356
8/10/2013,76,44,179,57,24,294,61,102,132,28,115,59,52,53,655
8/11/2013,73,47,285,58,33,302,61,102,153,33,132,73,65,70,445
8/12/2013,69,37,203,53,26,256,51,80,107,24,139,57,47,52,330
8/13/2013,60,35,175,44,22,236,38,73,100,22,110,48,43,46,295
8/14/2013,58,34,167,50,23,225,173,52,85,23,109,44,37,40,285
8/15/2013,54,33,163,48,20,250,43,64,93,37,134,45,39,46,285
8/16/2013,63,35,164,46,22,257,48,68,92,24,129,61,40,48,567
8/17/2013,82,47,203,61,27,327,62,109,136,33,140,67,40,66,455
8/18/2013,90,53,304,65,38,320,62,125,163,31,180,72,42,63,460
8/19/2013,69,36,210,50,23,275,54,85,113,32,156,65,40,62,337
8/20/2013,62,38,196,47,23,260,52,71,89,27,138,51,32,47,339
8/21/2013,64,35,174,45,25,253,40,74,93,26,120,53,39,45,347
8/22/2013,50,27,201,40,18,215,39,56,82,21,122,46,41,45,413
8/23/2013,55,32,97,47,22,232,34,67,77,22,86,45,45,43,216
8/24/2013,76,47,142,54,29,279,45,105,133,29,104,56,53,62,333
8/25/2013,89,51,241,62,31,304,51,99,154,30,124,64,44,56,370
8/26/2013,60,34,136,52,25,243,43,77,94,24,107,60,24,60,298
8/27/2013,61,32,111,49,23,233,38,69,91,25,102,50,20,49,259
8/28/2013,61,33,125,46,23,222,34,59,82,30,109,63,11,47,257
8/29/2013,48,40,120,39,21,186,27,66,77,22,80,45,21,39,227
8/30/2013,59,46,115,41,21,234,37,75,94,36,73,57,37,45,259
8/31/2013,93,78,215,57,39,369,58,126,179,35,132,87,69,79,439
9/1/2013,111,90,404,79,57,445,70,168,250,41,161,115,103,108,544
9/2/2013,75,59,281,58,38,346,54,111,170,31,135,89,73,86,434
9/3/2013,66,54,241,48,33,294,45,99,138,30,113,69,63,62,359
9/4/2013,67,59,205,60,33,289,44,79,117,29,115,64,52,65,351
9/5/2013,52,49,143,41,28,266,38,78,89,29,96,55,49,47,342
9/6/2013,57,43,130,39,21,219,38,62,79,23,78,51,47,45,271
9/7/2013,90,71,273,54,41,333,64,121,158,33,139,90,74,82,507
9/8/2013,103,81,398,67,53,362,58,128,177,34,174,105,95,99,504
9/9/2013,67,47,211,55,29,271,181,76,99,24,118,83,60,78,358
9/10/2013,51,46,177,39,23,207,33,71,78,20,95,62,57,57,282
9/11/2013,60,40,158,39,24,206,33,62,85,24,86,60,49,59,241
9/12/2013,48,28,139,33,19,203,28,58,83,19,86,52,44,52,245
9/13/2013,54,30,103,38,19,196,42,58,86,20,77,46,43,41,245
9/14/2013,87,48,210,59,35,300,53,107,158,32,118,73,62,64,434
9/15/2013,101,57,370,64,47,335,52,118,196,27,145,95,79,91,506
9/16/2013,69,36,215,47,30,256,41,84,135,25,98,73,53,65,331
9/17/2013,55,35,151,42,24,229,35,78,107,41,92,57,47,56,271
9/18/2013,62,32,118,39,23,230,38,71,97,20,96,50,40,50,269
9/19/2013,47,26,102,32,24,183,26,58,81,21,70,44,44,50,212
9/20/2013,60,34,108,41,22,219,31,62,92,23,80,48,36,42,251
9/21/2013,83,52,187,52,33,304,49,102,152,25,110,73,60,73,451
9/22/2013,93,63,336,67,44,321,43,113,167,28,137,88,88,86,503
9/23/2013,62,35,175,49,28,245,45,83,115,28,112,65,53,60,322
9/24/2013,55,31,144,43,20,213,30,70,86,22,91,54,47,46,234
9/25/2013,57,33,111,45,21,203,30,66,85,22,82,59,43,49,284
9/26/2013,47,27,102,35,18,183,23,51,70,22,73,32,35,45,243
9/27/2013,55,28,76,39,18,200,34,61,90,21,65,157,40,47,244
9/28/2013,86,55,173,58,35,329,57,109,167,28,114,71,68,54,431
9/29/2013,103,64,259,70,43,370,54,125,189,33,141,92,79,84,441
9/30/2013,67,41,130,46,28,286,42,98,127,30,97,55,55,54,260
10/1/2013,69,49,180,53,35,333,57,112,178,38,105,71,60,63,306
10/2/2013,70,55,168,50,33,331,51,96,146,31,119,60,49,63,310
10/3/2013,56,38,92,45,23,231,39,78,113,28,89,48,50,45,310
10/4/2013,58,37,110,53,23,263,37,77,115,46,114,49,48,48,320
10/5/2013,91,65,198,70,39,370,59,135,182,36,158,92,71,75,519
10/6/2013,107,71,267,75,48,385,48,134,183,31,175,85,87,84,558
10/7/2013,69,42,152,51,29,265,37,93,112,26,130,60,59,52,410
10/8/2013,55,32,108,45,23,238,35,80,89,27,122,49,51,49,360
10/9/2013,60,35,115,39,24,211,46,75,85,26,87,44,46,43,298
10/10/2013,54,28,106,46,19,187,30,55,79,24,83,44,37,44,270
10/11/2013,71,36,115,50,23,220,34,78,87,28,99,48,55,40,391
10/12/2013,83,47,184,53,34,255,49,99,121,28,133,71,64,70,409
10/13/2013,84,48,330,68,43,297,42,113,146,29,193,116,77,89,528
10/14/2013,56,29,194,41,29,229,37,73,90,25,152,68,58,67,273
10/15/2013,51,29,154,40,22,197,36,62,79,25,124,48,51,55,228
10/16/2013,57,38,163,52,26,267,38,76,102,28,123,56,51,54,261
10/17/2013,46,31,169,33,19,215,155,64,80,25,108,48,43,53,227
10/18/2013,51,30,85,44,16,242,33,60,74,24,88,45,39,41,237
10/19/2013,79,54,189,57,33,313,53,116,139,32,154,82,58,71,426
10/20/2013,91,60,359,64,48,347,50,129,182,31,189,98,88,74,525
10/21/2013,54,37,164,38,31,242,42,75,100,28,131,71,54,72,305
10/22/2013,47,32,117,38,24,237,33,58,81,20,103,51,40,48,238
10/23/2013,47,36,115,35,24,234,30,59,82,27,104,52,42,42,277
10/24/2013,41,29,101,35,16,176,25,45,68,23,87,38,41,41,264
10/25/2013,45,27,106,29,20,193,33,51,69,24,94,40,36,39,219
10/26/2013,72,41,180,47,34,305,56,105,136,32,121,69,66,56,397
10/27/2013,86,59,313,58,45,334,51,113,164,31,175,96,84,83,492
10/28/2013,56,36,191,40,27,241,43,80,88,22,124,55,48,55,332
10/29/2013,45,26,129,40,22,218,37,58,86,22,92,56,43,56,254
10/30/2013,47,32,121,39,20,240,33,60,87,45,89,44,41,47,245
10/31/2013,39,31,145,34,21,215,37,60,92,29,83,33,38,35,263
11/1/2013,56,44,122,49,31,295,58,74,122,34,100,52,49,46,350
11/2/2013,80,61,211,60,45,358,64,116,188,38,138,62,73,59,431
11/3/2013,90,75,338,77,59,384,62,141,235,34,191,105,92,100,560
11/4/2013,62,49,209,57,38,321,57,102,137,38,137,57,62,63,355
11/5/2013,48,41,167,47,29,269,48,88,110,30,125,54,53,45,299
11/6/2013,53,42,145,42,31,271,41,75,91,44,104,56,46,52,316
11/7/2013,41,32,113,35,25,202,127,73,80,24,84,52,44,46,278
11/8/2013,48,32,105,45,24,218,38,68,78,25,85,43,41,39,296
11/9/2013,72,49,184,57,41,305,55,103,133,31,129,67,60,72,441
11/10/2013,81,62,330,73,58,344,60,106,167,37,170,81,91,74,571
11/11/2013,54,34,177,43,28,226,41,81,104,25,107,60,51,61,329
11/12/2013,47,32,125,51,26,212,353,62,85,26,98,57,49,53,340
11/13/2013,50,32,118,41,27,205,35,56,70,27,101,43,42,43,270
11/14/2013,37,26,88,41,19,162,28,49,60,22,82,45,36,36,244
11/15/2013,54,31,114,39,24,205,41,52,74,23,91,40,42,45,342
11/16/2013,71,55,185,63,39,303,63,102,141,33,131,79,68,67,515
11/17/2013,85,60,307,69,51,341,56,114,176,34,172,80,85,84,611
11/18/2013,56,42,175,50,33,261,45,70,104,26,118,59,53,58,313
11/19/2013,43,30,134,39,27,203,39,53,76,26,99,56,43,43,352
11/20/2013,48,35,110,39,27,230,36,57,75,26,91,45,40,40,251
11/21/2013,38,30,95,33,22,165,30,45,61,24,96,42,44,38,272
11/22/2013,51,34,88,42,27,220,32,54,60,26,88,44,38,43,267
11/23/2013,65,49,187,57,38,276,52,90,112,25,118,64,62,55,431
11/24/2013,81,59,304,69,52,314,57,105,138,28,145,80,86,78,472
11/25/2013,54,37,160,47,30,226,41,70,78,23,98,63,53,59,330
11/26/2013,50,35,125,44,26,186,35,51,65,31,96,42,47,41,297
11/27/2013,49,33,120,38,23,207,33,54,65,22,113,48,36,44,281
11/28/2013,40,29,110,35,17,170,26,41,65,20,75,39,40,38,444
11/29/2013,45,32,92,38,22,214,42,52,112,25,86,60,43,51,256
11/30/2013,75,66,195,61,38,327,88,115,146,34,129,72,67,70,493
12/1/2013,100,88,382,78,58,433,78,132,216,42,189,105,101,83,649
12/2/2013,72,53,213,55,39,325,237,95,131,35,134,73,68,64,430
12/3/2013,53,45,153,49,28,281,63,84,110,31,119,58,57,52,351
12/4/2013,55,43,122,37,26,274,61,64,88,41,91,45,45,43,300
12/5/2013,45,39,111,37,18,224,41,60,73,27,84,59,45,43,305
12/6/2013,59,50,127,43,21,248,50,70,91,36,86,43,45,41,340
12/7/2013,77,75,187,52,34,321,59,104,143,36,117,68,76,70,451
12/8/2013,91,74,303,60,44,362,62,116,163,36,154,102,88,85,479
12/9/2013,60,45,208,42,28,260,50,67,93,28,106,64,64,56,289
12/10/2013,54,38,176,42,23,267,47,63,91,39,85,67,52,65,336
12/11/2013,61,43,154,36,24,280,119,61,85,61,76,53,44,46,311
12/12/2013,47,38,139,35,19,219,80,50,75,35,69,41,48,47,249
12/13/2013,56,43,109,31,17,251,71,51,69,27,68,44,40,36,296
12/14/2013,68,65,180,48,28,321,63,89,142,32,96,60,66,46,406
12/15/2013,80,82,283,52,40,404,69,100,185,38,128,83,84,76,514
12/16/2013,63,64,168,40,28,369,51,88,111,38,87,53,58,48,310
12/17/2013,57,56,120,37,26,310,44,67,98,31,78,49,48,47,277
12/18/2013,68,47,90,32,24,329,42,59,96,30,73,48,49,38,286
12/19/2013,54,47,52,31,25,297,67,60,83,35,60,41,45,62,283
12/20/2013,62,55,39,62,18,402,54,48,89,30,49,27,44,31,276
12/21/2013,89,78,51,39,25,398,88,95,149,40,57,37,60,39,406
12/22/2013,95,90,56,37,25,445,70,113,190,42,61,42,79,38,407
12/23/2013,100,111,30,37,23,517,104,82,148,58,61,38,86,30,415
12/24/2013,94,56,21,26,17,355,80,63,137,34,46,34,121,37,331
12/26/2013,67,56,29,36,21,281,58,92,146,39,48,39,61,33,392
12/27/2013,68,49,22,29,19,269,46,71,138,31,58,44,55,36,403
12/28/2013,73,61,36,37,18,308,65,106,178,38,56,45,71,40,461
12/29/2013,72,58,24,35,17,281,57,93,176,32,51,39,73,27,452
12/30/2013,97,70,29,34,21,348,65,98,180,42,69,41,92,33,483
12/31/2013,86,42,23,27,15,221,52,57,116,27,52,37,84,29,393
1/2/2014,85,60,22,45,34,319,56,119,174,37,108,73,79,66,431
1/3/2014,70,48,16,36,27,282,47,89,140,33,71,51,62,42,418
1/4/2014,88,76,24,49,39,356,65,125,221,42,110,80,88,61,599
1/5/2014,97,73,40,56,45,355,57,126,226,39,135,90,110,84,604
1/6/2014,61,38,9,38,28,251,37,72,131,33,92,57,62,55,342
1/7/2014,53,39,4,37,23,221,36,76,113,33,79,53,58,55,317
1/8/2014,66,46,5,38,23,243,34,63,125,39,77,48,59,45,283
1/9/2014,46,34,4,39,21,176,29,56,85,30,69,37,49,45,259
1/10/2014,53,36,11,31,19,175,29,47,82,28,70,38,46,38,257
1/11/2014,80,54,106,51,28,274,49,95,128,36,102,72,80,66,424
1/12/2014,83,63,264,49,35,298,49,89,147,31,115,77,100,70,516
