Default,Gender,AvgBal,Income
No,M,772,31170
No,F,1100,17064
No,M,783,40357
No,M,444,35924
No,M,504,24781
No,M,1763,42125
No,F,850,18619
No,M,1412,40785
No,M,715,47483
No,M,1364,55713
No,M,493,42495
No,M,1355,33375
No,F,571,15416
No,M,956,44087
No,M,965,34391
No,M,553,50513
No,M,338,37767
No,M,709,44042
No,M,979,57839
No,M,371,15703
Yes,F,1573,14930
No,M,0,40150
Yes,M,1964,39055
No,M,548,33606
No,M,1257,34045
No,M,1190,38017
No,M,688,39374
No,M,846,39900
No,F,958,19676
No,M,234,43326
No,F,1127,14298
No,F,489,15159
No,M,768,44324
No,M,562,31389
No,F,1092,17455
No,M,72,31966
No,F,1839,13625
No,F,876,22475
No,M,554,30357
No,M,891,43945
No,M,465,27325
No,F,564,24082
Yes,M,1530,30004
No,M,991,41690
No,M,590,42769
No,F,715,21154
No,M,1540,41852
No,M,1243,41640
No,F,235,20910
No,M,528,49394
No,M,592,30731
No,M,705,42683
No,M,457,48196
No,F,471,18052
No,F,1503,10600
No,M,1363,44218
No,M,909,45033
No,F,1097,16148
No,M,369,47835
No,M,673,50256
No,M,1039,51173
No,M,0,28763
No,M,527,32431
No,M,817,32974
No,F,1549,19702
No,F,567,11854
No,M,1496,24936
No,M,863,42845
No,M,1259,31264
No,M,1025,43510
No,F,703,14794
No,F,1082,15175
No,M,910,44055
No,F,997,16996
No,M,354,58514
No,F,783,13300
No,M,1717,51057
No,F,503,15154
No,M,1033,59204
No,M,0,34925
No,F,1087,19264
No,M,1047,43900
No,M,1057,38368
No,F,979,26011
No,F,848,15979
No,M,782,50959
No,F,402,15904
No,M,205,17534
No,F,2023,18337
No,M,749,44187
No,M,838,35917
No,M,386,44694
No,M,812,49623
No,F,1810,6985
No,M,0,30361
No,F,1328,24688
No,F,1465,26717
No,M,1201,39719
No,M,990,27857
No,M,871,35539
No,F,1201,19850
No,F,1429,23205
No,M,0,33951
No,F,359,21783
No,M,266,40863
No,M,1028,44407
No,M,729,35042
No,M,1043,25867
No,M,230,37876
No,M,367,30611
No,F,738,20864
No,M,18,30349
No,M,1258,30835
No,M,456,40907
No,M,57,35458
No,F,724,12213
No,M,612,41380
No,F,1220,15308
No,M,1222,32363
No,M,1165,47684
Yes,M,1643,46857
No,M,944,56089
No,M,750,41424
No,M,370,31231
Yes,M,1992,42133
No,M,774,44562
No,F,817,20481
No,M,1061,50260
Yes,M,1550,56274
No,F,454,15092
No,F,1256,17785
No,M,1484,36731
No,F,1050,12662
No,M,986,45430
No,M,717,44266
No,M,692,47038
Yes,M,1329,34710
No,M,673,32930
No,M,219,48991
No,M,1218,43954
No,F,14,19323
No,F,531,21727
No,M,166,33436
No,F,1352,25891
No,M,107,54144
No,M,947,35604
No,F,435,14813
No,M,1020,37459
No,M,662,31598
No,F,754,20768
No,M,289,44413
No,M,198,36271
No,F,516,16615
No,M,698,41755
No,F,502,16947
No,F,1460,15575
No,M,717,34418
No,F,1038,18324
No,M,673,29736
No,M,372,41100
No,M,89,55605
No,M,1273,40895
No,M,601,18681
No,M,905,40712
No,M,1061,54437
No,M,1673,46335
No,F,884,19750
No,M,374,53936
No,M,1288,52383
No,M,1230,48740
No,F,511,22457
No,M,776,27206
No,M,1153,50207
No,F,1304,7986
No,M,1675,28245
No,M,398,30002
No,F,740,25024
No,M,226,32019
No,M,1217,25174
No,M,640,29902
No,F,883,12717
No,M,2,38187
No,M,420,55968
No,F,1544,11103
No,M,1101,32153
Yes,M,1701,30489
No,M,312,48301
No,M,443,55074
No,M,729,17910
No,M,279,37189
No,M,759,36626
No,M,620,22804
No,F,1890,18402
No,M,0,28951
No,F,1329,23184
No,M,1076,44129
No,M,619,54957
No,M,1111,27467
No,M,864,45882
No,M,895,48512
No,F,954,21909
No,M,948,46814
No,M,267,23118
No,F,1367,23913
No,M,625,38325
No,M,14,25222
No,M,786,44778
No,F,1353,18933
No,M,480,25553
No,M,0,29507
No,F,1222,17917
No,F,1185,25109
No,F,479,27512
No,M,222,34786
No,M,578,41054
No,F,1361,19577
No,F,978,19732
No,M,1184,36887
Yes,F,1119,21848
Yes,M,1119,37225
No,M,776,31329
No,M,1322,51792
No,M,878,27439
No,M,1268,16921
No,M,0,32611
No,M,0,37263
No,F,367,25833
No,M,748,39899
No,M,1787,37499
No,F,1929,14995
No,M,987,27961
No,F,856,20758
No,M,1101,18154
No,M,704,31516
No,M,556,40838
No,M,1073,44764
No,M,1126,32843
No,F,650,15708
No,M,978,43743
No,M,1050,42638
No,F,1384,15764
No,F,1095,14065
No,M,1089,30225
No,M,605,21792
No,M,1034,49262
No,M,1605,38187
No,M,826,24680
No,F,1176,16671
No,F,1275,19937
No,F,1290,23539
No,M,1133,51414
No,M,837,37400
No,F,379,18280
No,F,1134,12453
No,M,0,39120
No,M,1491,59394
No,F,1695,9583
No,M,706,54589
No,M,239,33743
No,F,1184,12429
No,M,899,38267
No,F,1524,11720
No,M,777,35115
No,M,1395,26075
No,F,0,20476
No,M,63,47947
Yes,M,1981,28128
No,M,514,50053
No,M,723,53714
No,M,153,33717
No,M,293,35390
No,M,0,38614
No,F,645,17878
No,F,1515,26047
No,F,767,18846
No,F,492,21715
No,M,0,41389
No,M,0,34589
No,M,509,40133
No,F,966,16440
No,F,1869,20490
No,M,403,41804
No,M,593,37671
No,M,0,44548
No,M,742,39367
No,F,1110,13014
No,M,772,49440
No,M,624,42493
No,F,500,22885
No,M,1089,60650
No,M,1556,49670
No,F,797,23559
No,M,416,38216
No,F,538,26833
No,F,1182,21086
No,F,836,9272
No,M,104,46928
No,M,564,53197
No,F,805,25091
No,M,1029,21218
No,M,749,8984
No,M,67,28736
No,M,453,48034
No,F,798,27724
No,F,1942,23467
No,M,1446,22996
No,M,761,61580
No,M,1350,43147
No,M,381,36943
No,F,1603,15906
No,M,148,37589
No,M,0,36283
No,F,733,18818
No,F,1083,26096
No,M,780,40804
No,M,994,65254
No,M,769,50071
No,F,684,4985
No,M,443,27898
Yes,M,1717,38409
No,M,0,36303
No,M,1092,44717
No,M,497,35147
No,F,1150,16908
Yes,M,1465,58700
No,M,565,41790
No,F,922,12224
No,F,176,11510
No,M,1025,49676
No,M,597,54092
No,M,750,53085
No,F,791,14184
No,M,112,42386
No,F,738,16093
No,M,1158,54420
No,M,1213,45150
No,M,1340,41656
No,M,588,56521
No,M,722,56376
No,M,681,43843
No,F,815,12072
No,M,1043,37170
No,F,663,20455
No,F,1479,18026
No,M,338,33656
No,F,1274,23127
No,M,114,49563
No,M,0,52296
No,F,1516,26378
No,F,898,24165
No,M,791,48220
No,M,0,29073
No,M,1273,49136
No,M,1279,36063
No,F,733,14569
Yes,M,1764,46227
No,F,1280,16311
No,M,1530,36913
No,F,345,18251
No,M,198,33724
Yes,F,1771,15976
No,F,639,17037
No,M,239,23527
No,M,391,45338
No,F,830,19477
No,F,1379,21614
No,M,242,37364
No,M,1237,36211
No,M,1064,34914
No,M,127,33819
No,M,758,38018
No,M,909,68759
No,M,559,46297
No,M,1819,36970
No,F,1111,19328
No,M,723,43459
No,M,972,18511
No,M,696,40741
No,F,1178,29363
No,F,330,19372
No,F,793,14546
No,M,1246,33692
No,M,592,41670
No,M,244,24854
No,M,1039,49945
No,M,679,49489
No,M,1061,40585
No,F,1268,11915
No,F,956,14737
No,M,1116,27883
No,F,601,22029
No,M,1098,52286
No,M,1043,45983
No,F,1321,8624
No,M,1052,37638
No,M,688,27604
No,F,566,24828
No,M,769,35071
No,M,955,26373
No,M,643,28660
No,M,0,42745
No,M,438,45384
No,M,1279,34673
No,M,1639,30625
No,M,892,36471
No,F,316,18814
No,M,623,48875
No,M,107,42287
No,F,991,12398
No,M,0,45660
No,M,0,33120
No,M,591,35288
No,F,928,21122
No,M,305,40786
No,M,236,31337
No,F,1108,10853
No,M,687,24564
No,M,60,39865
No,M,0,34649
No,M,273,58731
Yes,M,1532,43930
No,M,950,47703
No,M,562,35081
No,M,468,25231
No,F,993,12216
No,M,0,31315
No,F,759,12711
No,M,1341,36440
No,F,1521,15210
No,M,134,30457
Yes,M,780,51657
No,M,840,22885
No,M,914,36671
No,M,925,35713
No,M,1198,54652
No,M,49,30451
No,M,971,48388
No,M,783,54082
No,F,465,20379
No,M,0,39338
No,F,732,21986
No,M,576,37680
No,F,589,16310
No,M,863,43779
No,M,858,49675
No,M,362,33675
No,M,891,36023
No,M,918,44739
No,M,1335,21151
No,M,421,39874
No,F,744,18884
No,M,774,41872
No,M,731,45252
No,M,964,36330
No,F,350,17657
No,M,1207,37126
No,M,1052,52888
No,M,455,45572
No,M,933,42759
No,M,536,36259
No,M,242,41186
No,M,1027,42042
No,F,188,18279
No,M,198,58647
No,M,586,43288
No,F,1947,12147
No,M,830,39718
No,M,197,35488
No,M,592,31439
No,M,0,39742
No,F,1008,11939
No,F,1052,17411
No,M,332,49756
No,M,913,29415
No,F,561,21747
No,M,247,47693
No,M,579,46305
No,M,558,62353
No,F,788,10418
No,M,1061,39174
No,F,1248,19817
No,M,1184,34260
No,M,1025,33072
No,M,1080,43368
No,M,540,26267
No,M,1449,33836
No,F,561,27421
No,M,1191,30041
No,M,565,38203
No,M,483,35845
No,M,950,37486
No,F,351,21235
Yes,F,1551,19028
No,M,982,37748
No,M,1442,10922
No,M,1060,56607
No,M,1155,61794
No,F,544,20057
No,M,1137,27589
No,M,414,47811
No,F,436,17504
No,M,988,25810
No,M,679,46604
No,M,1378,51633
No,M,857,32437
No,M,1037,44924
No,M,0,46827
No,M,961,51937
No,M,276,35623
No,M,427,30769
No,M,290,46214
No,M,935,42326
No,F,669,26342
No,F,2005,27137
No,M,1313,29938
No,F,662,15092
No,M,525,36121
No,F,1213,21058
No,M,961,30291
Yes,F,1504,13965
No,F,614,25040
No,F,1233,13402
No,M,1221,36961
No,M,1217,46257
No,M,629,43205
No,F,819,15958
No,F,843,12710
No,M,1174,29141
No,F,1196,13330
No,M,1203,12288
No,M,25,29317
No,M,853,29484
No,M,399,40224
No,F,1521,18150
No,F,1160,15941
No,M,986,49948
No,M,584,38216
No,F,639,18148
No,M,385,25381
No,M,1051,31559
Yes,F,1872,18077
No,M,794,35158
No,F,592,21791
No,M,419,24002
No,F,514,18185
No,M,1028,21552
No,F,1030,15977
No,F,954,18363
No,F,1463,11579
No,M,1172,34690
No,F,548,12049
No,M,1753,48250
No,F,556,23910
No,F,1561,13622
No,F,840,16883
No,F,1113,13635
No,M,1309,43278
No,M,941,41560
No,M,1019,41195
No,M,434,32905
No,M,1015,42050
No,M,75,52766
No,M,1050,39586
No,M,49,35155
No,M,1722,48236
No,M,1607,48701
No,M,1180,43914
No,M,610,40876
No,F,1054,19441
No,F,794,19074
No,M,880,30021
No,M,1238,29151
No,F,1413,18234
No,F,1175,13026
No,M,363,44326
No,M,919,44928
No,F,1195,21649
No,F,794,15722
No,M,10,33777
No,M,0,31083
No,F,499,16968
No,F,1227,18459
Yes,M,1903,53394
No,F,1059,11742
No,F,450,21178
No,M,419,55003
No,M,1070,32939
No,M,1307,56641
No,F,1315,8431
No,M,75,19146
No,M,66,38927
No,M,56,54217
No,M,1057,25124
No,M,259,51355
No,F,1144,23501
No,F,0,15682
No,M,878,30240
No,M,919,45316
No,M,95,27213
No,M,333,29413
No,M,198,30971
No,M,625,41048
No,M,138,54407
No,M,788,46186
No,M,1031,36271
No,M,1050,30159
No,M,0,35739
No,F,1130,18467
No,M,796,51303
No,F,1504,18711
No,M,436,46072
No,M,801,36314
Yes,F,1881,16580
No,F,1445,18633
No,M,1166,23994
No,M,164,38970
No,M,0,46354
No,M,1322,47814
No,M,1284,61526
No,M,1001,43059
No,M,250,47602
No,M,500,38991
No,M,568,36374
No,F,1047,13714
No,F,187,15977
No,M,783,39224
No,M,389,18008
No,F,843,17280
No,M,556,44198
No,M,1235,48112
No,M,413,42123
No,M,683,29269
No,M,872,48102
No,M,416,24741
No,F,1518,16740
No,M,254,44612
No,M,1507,24058
No,M,901,40849
No,M,595,46012
No,F,164,21083
No,M,390,43473
No,F,1335,14835
No,F,1962,17864
No,M,1173,36440
No,M,1102,23218
No,M,1229,46412
Yes,M,1506,29526
No,F,1218,21160
No,F,843,12043
No,M,1005,59404
No,M,294,57500
No,M,485,24570
No,M,776,34586
No,F,1339,21032
No,M,802,39157
No,M,552,37573
No,F,522,23440
No,F,1237,20660
No,M,320,57563
No,M,961,30094
No,M,272,29774
No,M,927,33782
No,M,76,55190
No,M,1286,37636
No,M,1472,32478
No,F,808,14485
No,M,747,42900
No,M,328,23865
No,F,851,18787
No,M,111,27370
No,M,542,57322
No,M,0,36269
No,M,1201,51741
No,M,57,18983
No,F,785,32946
No,F,384,17445
No,M,1107,52765
No,M,397,55455
No,M,0,44807
No,M,924,45207
No,M,602,33203
No,F,829,17962
No,F,2,20837
No,F,894,18002
No,M,1234,31313
No,M,406,42642
No,F,1052,12376
No,F,1086,18890
No,M,1656,41133
No,F,243,20427
No,F,602,12928
No,M,188,59661
No,M,331,34498
No,M,911,57131
No,M,391,39762
No,M,1450,33957
No,M,820,28960
No,F,1590,18666
No,F,1257,22494
Yes,F,1889,22652
No,M,744,10775
No,M,343,29556
No,M,535,44079
No,M,1208,34858
No,M,565,39829
No,F,495,22938
No,M,903,38648
No,F,1741,18544
No,M,1167,52700
No,F,631,23245
No,F,1077,14668
Yes,M,1244,37634
No,M,2113,34748
No,M,1296,43313
No,M,1089,47148
No,M,825,42314
No,M,684,37011
No,M,37,26222
No,F,878,18415
No,M,904,40683
No,F,942,22181
No,F,957,16323
No,M,285,17607
No,F,1468,19846
No,M,323,27669
No,M,414,40877
No,M,1105,36813
No,M,0,34306
No,M,620,13902
No,M,294,56677
No,F,637,19705
No,M,1110,69325
No,M,1223,52903
No,F,1184,13082
No,M,570,54335
No,M,626,46026
No,M,834,16909
No,M,866,44827
No,F,945,17279
No,M,1555,43902
No,M,576,51928
No,M,1142,38723
No,M,1147,45377
No,M,0,43347
No,M,435,35455
No,M,1026,39136
No,F,1303,29252
No,M,691,59562
No,M,574,40728
No,M,0,42285
No,F,251,13059
No,F,1252,16491
No,M,208,52249
Yes,M,1753,48965
No,F,1280,21108
No,M,863,36462
No,M,1144,33395
No,M,1253,71239
No,M,624,25558
No,F,1028,14322
Yes,M,1964,50554
No,M,752,32540
No,M,954,32640
No,M,773,66749
No,M,433,52238
No,M,798,31617
No,M,241,56089
No,M,662,31815
No,F,1056,15432
No,M,741,43016
No,M,0,29514
No,M,982,41123
No,M,1570,42781
No,M,137,45596
No,F,732,18117
No,M,718,32041
No,F,1005,18262
No,M,562,31193
Yes,M,2033,44998
No,M,639,46705
No,F,1105,11529
No,M,0,34480
No,M,634,34291
No,F,1526,20894
No,M,523,43026
No,M,853,47382
No,M,1225,39339
No,F,1560,22048
No,M,260,34932
No,M,1321,50505
No,M,1444,45089
No,M,792,30304
No,M,923,33445
No,M,81,35888
No,M,193,34728
No,M,939,45519
No,M,1337,30787
Yes,M,1489,49803
No,F,375,13709
No,F,773,18978
No,M,581,44601
No,M,461,43148
Yes,F,1425,25398
No,F,1139,17140
No,M,1032,41674
No,M,97,44556
No,M,339,42679
No,F,1331,13793
No,M,0,48642
No,M,616,42437
No,M,600,30147
No,F,1467,20904
No,M,593,49925
No,M,787,49433
No,M,927,48753
No,M,1175,37463
No,F,1698,23296
No,M,576,54203
No,M,1386,54404
No,F,1222,23153
No,M,1556,26906
No,M,1104,52822
Yes,M,1496,40215
No,F,976,25920
No,F,781,23403
No,F,940,18940
No,M,375,32531
No,M,628,51770
No,M,1304,49372
No,M,1496,37534
No,F,1006,15851
No,M,829,46061
No,F,1144,18903
No,M,1386,42538
No,F,1322,11454
No,M,1121,35766
No,M,548,45966
No,M,814,42462
No,M,75,52166
No,M,598,28621
No,F,63,12308
No,M,0,33782
No,M,1554,35929
No,M,814,46420
No,M,1386,42875
No,M,934,43694
No,F,1240,20135
No,M,0,43731
No,M,614,30834
No,M,254,53125
No,F,948,17094
No,F,113,16101
No,F,827,18893
No,M,485,43900
No,F,271,25158
No,M,1018,52510
No,F,0,16421
No,M,0,40393
No,M,1102,36555
No,F,1472,18913
No,M,1058,40708
No,M,353,17626
No,M,1030,50636
No,M,1309,35965
No,F,1582,10538
No,M,918,53710
No,M,638,40324
No,M,369,38468
No,F,985,18500
No,M,307,32429
No,M,1206,43715
No,M,1080,40505
No,M,555,40046
No,M,905,39294
No,F,1349,20870
No,F,1462,19252
No,M,443,29811
Yes,M,2024,51509
No,M,1517,39368
No,F,521,18256
No,M,851,44502
No,M,926,49920
No,F,1276,9612
No,M,250,20684
No,F,1564,19373
No,M,443,37640
No,M,324,33992
No,F,512,24950
No,F,525,14155
No,M,741,38661
No,F,1994,14305
No,M,1176,24001
No,M,284,41244
No,M,566,39109
No,M,48,31150
No,M,777,45083
No,M,354,65527
No,M,76,53594
No,M,840,45995
No,F,754,22426
No,F,833,23630
No,M,277,27549
No,M,1595,37092
No,M,0,38166
No,F,1282,14236
No,M,1470,40175
No,M,0,32583
No,M,891,46612
No,M,494,51518
No,F,885,24307
No,M,0,49608
No,M,1029,47945
No,F,426,13276
No,M,1132,52490
No,M,965,46218
Yes,M,2499,51504
No,F,1435,11347
No,F,1391,8638
No,F,1804,17666
No,F,322,19229
No,M,1507,41932
Yes,F,1402,12104
Yes,M,1379,38882
No,M,1233,57182
No,M,135,35756
No,F,423,18787
No,M,1374,21785
No,M,661,55592
No,M,1428,27426
No,M,939,39460
No,M,608,56483
No,M,1478,46965
No,F,1471,17876
No,F,1489,20740
No,M,0,50076
No,F,328,19566
No,F,1334,21087
No,M,765,40593
No,M,110,52106
Yes,F,2503,14948
No,M,604,36593
No,F,1595,22645
No,M,0,45788
No,M,441,50902
No,F,877,13373
No,M,1367,35567
No,M,1130,32795
No,M,1077,56862
No,M,1411,26040
No,M,0,34523
No,M,862,27356
No,M,1186,56484
No,M,902,57100
No,F,774,14842
No,M,1388,30717
No,M,1208,37356
No,F,456,12587
No,F,551,19110
No,F,1485,22965
No,F,442,15262
No,M,810,28057
No,M,1137,49811
No,F,1402,13871
No,M,1542,29375
No,M,899,63041
No,F,700,18703
No,F,895,23796
No,M,770,48489
No,M,842,53779
No,M,44,30449
No,M,377,42257
No,M,265,49216
No,M,522,37342
No,M,1682,41867
No,M,1070,55422
No,M,376,37926
No,F,671,19836
No,M,319,49306
No,F,955,25315
No,M,1124,24902
No,M,994,34836
No,M,279,54559
No,M,1553,44150
No,M,0,37554
No,M,484,36497
No,F,312,18534
No,M,536,32994
No,M,128,27484
Yes,F,1507,23899
No,M,1351,40947
No,M,723,42752
No,F,1041,22618
No,M,1102,34247
No,F,420,16420
Yes,M,1278,36676
No,M,542,52742
No,M,402,47176
No,M,507,51114
No,M,1160,23498
No,M,1278,56606
No,F,1201,18974
No,F,1419,11557
No,F,480,14593
No,M,371,31140
No,M,738,51138
No,M,502,41367
No,M,1682,30442
No,F,813,21074
No,M,684,46938
No,F,1037,15197
No,F,471,24945
No,M,336,39707
No,F,444,13137
No,M,967,35269
No,M,549,15706
No,M,1601,17975
No,M,902,59695
No,M,0,37500
No,M,1433,41744
No,F,503,13376
No,M,433,35859
No,M,406,36750
No,M,935,56611
No,F,1546,12161
No,M,94,19811
No,F,192,24050
No,M,717,24016
No,F,1157,21222
No,M,72,39561
No,F,1417,20464
No,M,1195,38453
No,M,559,55007
No,M,0,17059
No,M,359,25243
Yes,F,2123,23836
No,M,1317,20353
No,M,1172,34514
No,M,1453,36828
No,F,324,12327
No,M,1153,27346
No,M,1334,57662
No,M,710,37992
No,M,731,33127
No,F,279,19742
No,F,0,19623
No,F,631,16502
No,M,543,31268
No,M,619,27907
No,F,1053,25223
No,M,0,43943
No,F,1762,17032
No,M,0,49233
No,M,469,30367
No,M,700,32881
No,M,446,42612
No,M,571,39683
No,M,952,44864
No,M,585,55682
No,M,174,47750
No,F,672,15299
No,M,1340,53586
No,M,0,36226
No,F,1579,21101
No,M,917,40194
No,M,251,25962
No,M,998,38385
No,M,828,42246
No,F,1500,16943
No,M,1143,26731
No,F,1415,16738
No,M,199,33513
No,M,342,41663
No,F,147,12716
No,M,1576,30548
No,M,1830,24053
No,M,369,34526
No,F,1027,23637
No,F,0,13334
No,M,241,40122
No,M,1272,44896
No,M,361,49395
No,M,1464,32024
No,F,815,18446
No,F,1026,16431
No,M,631,30466
No,M,1624,16054
No,M,745,44965
No,M,1439,36171
No,F,1491,13033
No,M,0,13574
No,M,1163,27207
No,M,1464,34065
No,F,1310,15536
No,M,921,37936
No,F,6,18913
No,M,129,56946
No,F,1323,21149
No,M,383,15233
No,M,267,32265
No,M,429,48110
No,M,711,51036
No,F,310,12135
No,F,1318,14070
No,M,427,55503
No,M,873,31472
No,M,1106,38886
No,M,678,59417
No,F,1165,17930
No,M,215,33905
No,M,722,50952
No,F,224,18282
No,F,1199,13809
No,M,580,37278
No,M,821,34739
No,M,603,37849
No,F,378,14022
No,M,728,38431
No,F,600,18538
No,M,994,26682
No,M,1097,47235
No,M,1603,43475
No,M,1147,30637
No,M,1342,58050
No,F,1664,19848
No,M,1005,41308
No,M,963,25063
No,F,1093,27128
No,M,919,43288
No,F,177,20022
No,M,461,38818
No,F,783,20594
No,M,614,56951
No,M,362,39659
No,M,862,49672
No,F,936,19389
No,M,1223,68565
No,M,794,44145
No,M,0,53433
Yes,M,2221,40725
No,M,523,38063
Yes,M,1907,42347
No,F,1809,18805
No,M,1392,32283
No,M,1349,35870
No,M,622,51596
No,F,1274,18475
No,M,636,17356
No,M,680,33192
No,M,837,27937
No,F,1115,19169
No,F,800,16148
No,F,996,20071
No,M,1633,33456
No,M,440,24453
No,M,277,50524
No,M,1715,22824
No,M,849,29043
No,F,324,19145
No,M,794,24973
No,M,612,39444
No,F,1418,14907
No,F,1467,19140
No,F,441,19896
No,F,0,23422
No,M,885,46572
No,M,636,42452
No,M,665,32895
No,M,1100,34281
No,F,1606,13422
No,F,1704,20892
No,M,1296,39800
No,M,468,22943
No,M,304,44745
No,M,972,33775
Yes,M,1758,49787
No,F,1335,24622
No,M,983,40194
No,M,52,14680
No,M,402,25011
No,M,1457,40187
No,M,773,42678
No,F,1844,14238
No,F,1016,21363
No,M,989,31210
No,M,1073,45705
No,M,1577,39835
No,M,840,33977
No,F,1210,19022
No,F,715,13432
No,F,607,16374
No,M,413,43071
No,M,1184,34991
No,M,274,27997
No,F,872,9789
No,M,1725,46397
No,F,1107,15662
No,F,1161,18420
No,F,108,17942
No,M,136,42720
No,M,682,30289
No,F,792,18343
No,M,458,43135
No,M,1515,36403
No,M,816,37763
No,M,1242,41952
No,M,932,49215
No,M,608,46963
No,F,628,15423
No,F,593,22787
No,M,187,31141
No,M,736,39538
No,F,838,23699
No,M,512,43737
No,M,355,65799
No,M,1138,24098
No,M,828,53806
No,M,1219,51225
No,M,316,34251
No,F,480,14867
No,M,153,39503
No,M,1129,46690
No,F,887,14959
No,M,938,34185
No,M,1077,43973
Yes,M,1575,35735
No,M,148,43104
Yes,M,1866,49605
No,F,634,14110
No,M,0,50231
No,M,923,50800
No,M,5,28521
No,M,1198,42969
No,M,1727,43815
No,M,1075,30485
No,F,884,14740
No,M,1099,47625
No,M,949,45457
No,F,815,22948
No,M,687,35989
No,M,694,32579
No,M,815,28526
No,M,1032,59556
No,M,1319,62055
No,M,1366,51551
No,M,1033,55487
No,F,0,15968
No,M,858,54373
No,M,1156,33960
No,M,1713,34006
No,F,903,15076
No,F,212,16179
No,M,633,51149
No,F,378,19571
No,M,1000,43935
No,M,971,49044
No,M,1319,35466
No,M,286,59577
No,M,831,39724
No,F,658,19396
No,M,787,57705
